id,SalePrice
2658,160231.14155388187
2718,207604.09850864016
2414,212217.16698030411
1989,111784.80129063653
625,194817.11012840417
333,126166.81322362451
1327,118589.04698154854
858,143592.81611598638
95,189981.63602710102
1568,183392.79166147148
2482,179741.11764383042
1364,109548.02376985791
2584,159146.2312015914
818,318938.21627825196
2673,163981.3984593015
2089,128264.64703261817
1297,197705.0679348629
790,115508.49952874737
2616,207432.260325782
720,155969.1003640687
222,132806.90769307318
557,151673.44659714535
1148,204514.93398965718
2766,163671.197656224
534,169574.38999385302
1452,122152.71312433164
630,167472.02968783758
2648,118814.01056316879
125,156022.08203497945
1904,73121.21886857317
1670,138312.57555608707
756,129336.34742583026
717,229829.94721476396
1032,166089.07406456422
852,216052.97639401053
1731,170553.6741467934
2639,143478.54873533623
2071,106529.51491098976
1267,109653.78210869261
1851,178302.29821125083
567,161226.3946982531
2439,205563.24985492966
1898,160072.07717871212
647,164935.2798873012
2256,228163.1457160428
979,129315.96634405198
1444,231018.25961837335
2485,125008.48297836354
157,116788.47925276126
88,130605.29382499582
2003,113173.89578172383
186,180834.30920684355
1425,235677.27364501957
2695,128113.55100196495
738,114236.08809478748
395,150365.21437608422
1353,157170.95428865237
1878,162267.01298805713
390,170362.33997781738
1456,250078.92601990522
1103,290195.71603025275
1387,133852.49918514048
2070,159021.7707529677
1199,174408.29191061814
2479,184259.52194495423
501,273772.136961533
2362,105304.6905951896
1718,242387.59022289485
2188,68322.32714795672
1483,167013.22213764046
2557,100348.27784019614
437,332629.97990423685
2224,209129.9843157975
1628,172344.75414410097
397,136250.8546177426
587,207244.03562430645
971,161142.19737693394
2611,141173.57533190498
1887,99644.51443919283
2399,307470.72407390794
2148,204692.05514833494
304,126937.88677041608
1997,143676.2507972646
2817,127000.39794967975
1431,206463.2781815032
427,324060.3875254205
263,131171.13290838638
598,206150.58383060133
2895,208035.57278920914
687,156616.30546512894
1822,122129.89876841125
2191,105992.6556026054
179,115572.42890479755
1009,202651.61273277577
2010,127446.83770651685
1991,159311.03869672614
1411,160696.00128003617
1721,264143.62518053374
1144,214392.08485497787
593,210357.33040391532
575,245849.96729650744
1249,209037.9620104422
1604,128786.12063949027
1064,368387.0681006892
1923,172925.00085682882
1988,86433.17385500709
2325,183270.94248243145
114,225360.9199982746
2700,199326.105625366
217,172990.50918678215
343,202740.96144756518
386,210838.84703520226
2005,138319.5877984648
2908,130008.32149454983
1814,226192.34204742432
2446,379783.93455432786
208,163333.1556496252
1679,149841.3254857487
822,267791.7592627298
6,218578.29023095034
1781,301509.93159965856
2397,280443.5994809779
2340,251624.1423392196
1618,181509.65785119103
2843,177040.0666168247
1061,342793.79182415537
2786,118344.89329252287
1935,121828.12602153812
1341,132146.35200437577
521,231264.13792644528
2136,164478.05213262263
996,223560.9056752375
227,170936.27673125756
135,174758.1276225296
1167,190415.32192725857
294,211108.18326662088
1776,181253.28395811346
540,161395.83812941192
1717,240329.4582879989
2303,120962.24193196504
116,188206.22673149203
127,131029.09925450235
1371,117051.63727812347
1014,187283.82553603358
1507,81071.74903122375
702,178074.84522067226
750,160898.4347099824
261,162517.05362710185
1559,86839.27777502041
577,194574.55134079355
2812,196011.80981843802
2080,146875.56713705402
1368,93814.25306745232
2376,132532.16340619314
659,87098.21311422947
1235,134238.5140404905
332,106381.69939379401
1917,125388.15668197245
2094,240538.6662812469
1460,257791.7101957195
1471,218486.06379104924
1509,110846.98859627811
1922,124483.05708000335
433,384327.8433725829
460,240318.30902093748
1116,234681.39549886147
1137,181266.4264787806
53,174890.21854848432
2354,243531.74440293916
1475,196588.95188923494
1761,439816.7690845664
842,150386.7569428074
2739,182372.5728033129
2509,156304.66732034425
1007,200697.0755208595
2610,192333.16290782002
1952,74721.78908954533
2719,213580.64618899047
2921,124877.96094445651
1966,146033.47270845174
292,145415.7481043851
1204,216545.2718005222
1829,239249.21121505785
2419,175941.31639998234
391,169261.01961682635
798,109143.66933648991
481,212085.36339988533
193,189725.580273805
555,121610.29137123167
899,100584.46513612232
2357,201350.40683011367
328,151319.57268075287
1356,93170.0586401831
1154,112778.61359812546
1730,190962.12474635086
2249,160550.69872692472
1119,261506.32468639815
2856,164310.70263319503
1394,142842.56235268188
2587,141069.21391727656
61,276157.4393332672
2661,172075.4704525084
2711,133491.66640508565
1147,207154.21425278042
757,119821.47173073902
2623,111731.73499037999
2378,171835.1277912661
1413,125560.80171955329
1722,244602.16514758376
1112,228521.47772531593
1623,205299.43546646452
1201,209116.63282508866
1513,105914.6587314002
957,250734.23519378464
1171,222912.38451573986
1145,206971.92927443597
2726,228146.462697078
703,150899.83732768625
760,90601.4207536169
1964,140941.05651014083
2512,189716.55685821967
159,163174.24822859105
1281,188882.77316805237
468,194342.04714544726
290,127470.23372506196
665,102970.5885546366
1463,259413.43686562672
1792,208192.93219989177
923,147896.9412770579
500,266374.0126321778
1408,158590.21370611808
331,84437.71625457855
170,166232.86765206888
2192,107862.46417979336
2571,293894.0369755744
2314,183214.34999510084
2647,86977.10073790091
422,383011.72757337766
2457,296773.99936620466
1838,190085.47166722026
2805,234730.0706002668
1645,178090.84592383198
1711,294000.2586328186
2825,225312.72474645072
322,252495.89397119684
2103,239565.80630206218
342,127502.11971834223
600,135250.80079655081
488,201012.54129857407
1725,270990.3371187728
2246,250954.38489588496
2847,172168.8508891914
806,236535.45724424825
530,232695.92155040422
963,211539.38261015835
2678,118463.21763224718
171,82821.09212776866
2401,357398.09948722506
805,226352.93184715562
