id,SalePrice
2658,160377.683685894
2718,207840.31557802833
2414,212069.74848348397
1989,111908.28616240561
625,194717.7298179347
333,126209.3839688754
1327,118853.04869824523
858,143620.65550329848
95,190334.78882724987
1568,183298.2789229638
2482,179618.25890270356
1364,109530.43285334454
2584,159162.9995040111
818,318760.3889308594
2673,163949.04319034077
2089,128546.03558879741
1297,197753.94595567888
790,115756.07546772766
2616,207305.3344070991
720,155998.2685235061
222,133112.641205255
557,151928.97140693467
1148,204393.64141050592
2766,163622.89182840707
534,169571.75156527775
1452,122157.71801162962
630,167351.0444790371
2648,119023.1289258168
125,155989.08547406452
1904,73138.42273694865
1670,138318.56902117515
756,129322.8394716029
717,229894.8545987727
1032,166026.7833746337
852,215960.27193505087
1731,170592.0889287846
2639,143681.94292626652
2071,106874.16883194698
1267,109631.36216186
1851,178607.22859563548
567,161576.15336926834
2439,205513.95862140052
1898,160065.96846701688
647,164823.4228793405
2256,227962.18227446053
979,129401.57879379121
1444,230925.63998315603
2485,124987.69090586674
157,116787.01300051324
88,130841.06192523238
2003,113378.11291432833
186,180836.6640251479
1425,235517.5615261488
2695,128139.85852811695
738,114219.19660771806
395,150369.70599210955
1353,157073.72585616304
1878,162261.40007394363
390,170260.48748648152
1456,249962.1920390479
1103,289925.42689674604
1387,133977.64738740327
2070,159244.3609751725
1199,174430.56356524111
2479,184158.9233988511
501,273561.0972538709
2362,105291.52315813785
1718,242235.74953731036
2188,68530.2215842124
1483,166953.3791694147
2557,100336.65742109832
437,332435.2638560921
2224,209090.9771965747
1628,172295.59928658727
397,136238.0789672454
587,207152.32961991243
971,161257.48925129423
2611,141133.68193482404
1887,99718.86165616989
2399,307272.2291451037
2148,204533.3641801489
304,126906.74372362255
1997,143835.49377681548
2817,127148.5261818688
1431,206465.61847073663
427,323990.06425335386
263,131165.62810031252
598,205949.0451776538
2895,207897.01129289632
687,156642.7859843856
1822,122388.08310759593
2191,106246.57065705817
179,115821.59270695121
1009,202417.3870359071
2010,127360.96280980457
1991,159488.2272922648
1411,160883.05620849712
1721,264015.4043640777
1144,214303.0541160293
593,210253.49141240554
575,245619.77950900287
1249,208940.47088275873
1604,128783.56554412129
