Date,Tavg,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Humidity,daylength
2007-05-01,19.72222222222222,0.0,29.14,29.82,2.2,26.0,9.399999999999999,55.5,841.0
2007-05-02,10.833333333333332,0.0,29.41,30.085,13.15,3.0,13.4,70.0,843.0
2007-05-03,13.88888888888889,0.0,29.425,30.12,12.3,6.5,12.55,53.0,845.5
2007-05-04,16.25,0.0025,29.335,30.045,10.25,7.5,10.600000000000001,48.5,848.0
2007-05-05,15.555555555555555,0.005,29.43,30.095,11.45,7.0,11.75,45.0,850.0
2007-05-06,15.277777777777779,0.0,29.595,30.285,14.100000000000001,10.5,14.75,32.5,852.5
2007-05-07,18.888888888888886,0.0025,29.41,30.12,8.55,17.5,10.2,38.5,855.0
2007-05-08,20.555555555555557,0.0025,29.325,30.025,2.6,9.5,5.6,66.5,857.5
2007-05-09,20.833333333333336,0.075,29.245,29.935000000000002,3.9,8.0,6.050000000000001,70.5,860.0
2007-05-10,21.38888888888889,0.0,29.23,29.915,1.35,13.0,4.0,52.0,862.0
2007-05-11,16.11111111111111,0.0,29.36,30.035,11.5,19.5,12.850000000000001,52.0,864.0
2007-05-12,13.055555555555557,0.0,29.515,30.195,12.55,2.0,12.95,49.0,866.0
2007-05-13,13.61111111111111,0.0,29.52,30.24,6.5,12.5,7.85,40.5,868.0
2007-05-14,22.5,0.0,29.27,29.975,15.5,21.0,15.95,39.0,870.0
2007-05-15,20.555555555555557,0.49,29.16,29.835,8.1,26.0,11.55,63.0,872.0
2007-05-16,12.777777777777779,0.10500000000000001,29.36,30.03,7.9,36.0,12.0,62.5,874.0
2007-05-17,11.666666666666666,0.0,29.585,30.27,11.1,2.0,11.75,45.0,876.0
2007-05-18,13.88888888888889,0.0,29.565,30.255000000000003,4.4,23.5,6.5,36.5,878.0
2007-05-19,20.0,0.0,29.375,30.08,11.1,23.5,11.4,33.5,880.0
2007-05-20,13.61111111111111,0.09,29.41,30.11,9.5,3.5,10.2,55.0,882.0
2007-05-21,16.944444444444443,0.0,29.36,30.055,6.3,10.5,8.0,64.0,884.0
2007-05-22,22.5,0.0,29.375,30.055,10.05,17.0,10.399999999999999,37.5,886.0
2007-05-23,24.72222222222222,0.0,29.43,30.1,11.15,18.5,11.5,37.5,887.0
2007-05-24,24.72222222222222,0.0125,29.439999999999998,30.105,14.350000000000001,20.5,16.25,44.5,888.5
2007-05-25,16.944444444444443,0.0475,29.54,30.235,4.7,5.0,8.5,53.0,890.5
2007-05-26,14.722222222222221,0.645,29.39,30.105,2.65,16.0,7.5,88.5,892.5
2007-05-27,19.166666666666664,0.06,29.375,30.055,8.55,25.0,9.35,51.0,893.5
2007-05-28,18.333333333333332,0.0025,29.46,30.145,4.75,9.0,5.25,54.0,895.0
2007-05-29,24.166666666666664,0.0,29.415,30.1,5.8,17.0,6.95,55.5,896.5
2007-05-30,25.833333333333336,0.0,29.345,30.035,10.0,18.0,10.35,48.5,897.5
2007-05-31,22.77777777777778,0.27,29.310000000000002,29.994999999999997,9.100000000000001,18.5,9.55,66.0,899.0
2007-06-01,24.166666666666664,0.2,29.22,29.905,4.45,16.5,6.1,65.5,900.5
2007-06-02,23.333333333333336,0.0225,29.065,29.765,7.0,21.5,7.8,67.5,901.5
2007-06-03,21.38888888888889,0.165,28.845,29.549999999999997,5.050000000000001,24.5,6.95,69.5,902.5
2007-06-04,18.055555555555557,0.35,28.85,29.515,7.85,30.5,9.899999999999999,78.0,903.5
2007-06-05,13.61111111111111,0.345,29.130000000000003,29.785,5.7,4.0,7.85,71.5,905.5
2007-06-06,15.277777777777779,0.0075,29.1,29.814999999999998,10.2,16.0,11.0,64.5,906.0
2007-06-07,27.5,0.0,28.875,29.55,21.5,19.5,21.9,51.0,906.5
2007-06-08,21.38888888888889,0.0,29.21,29.84,10.100000000000001,27.0,13.100000000000001,55.0,908.0
2007-06-09,19.444444444444443,0.0,29.39,30.060000000000002,1.3499999999999999,26.0,4.85,50.5,908.5
2007-06-10,20.833333333333336,0.0,29.365000000000002,30.045,4.699999999999999,16.5,5.699999999999999,51.0,909.5
2007-06-11,23.055555555555557,0.0,29.439999999999998,30.1,5.75,10.0,7.65,46.0,909.5
2007-06-12,23.055555555555557,0.0,29.465,30.15,8.850000000000001,5.0,9.4,44.0,910.5
2007-06-13,24.166666666666664,0.0,29.36,30.09,7.1,5.0,8.6,45.5,910.5
2007-06-14,25.555555555555557,0.0,29.33,30.009999999999998,5.75,6.0,6.6,44.5,911.5
2007-06-15,25.27777777777778,0.0,29.310000000000002,29.979999999999997,3.9499999999999997,7.5,4.5,47.5,911.5
2007-06-16,26.666666666666668,0.005,29.295,29.965,3.45,25.0,5.949999999999999,51.5,912.5
2007-06-17,27.22222222222222,0.08,29.255000000000003,29.939999999999998,3.4,11.0,6.199999999999999,57.0,912.5
2007-06-18,26.666666666666664,0.15000000000000002,29.155,29.835,13.1,20.0,13.85,60.0,912.5
2007-06-19,22.77777777777778,0.755,29.285,29.939999999999998,10.399999999999999,28.5,11.350000000000001,53.0,913.5
2007-06-20,23.055555555555557,0.0,29.425,30.095,6.85,27.5,8.25,45.5,913.5
2007-06-21,21.666666666666668,0.0075,29.384999999999998,30.07,3.6,2.5,10.149999999999999,49.5,913.5
2007-06-22,20.555555555555557,0.005,29.36,30.055,7.15,6.5,8.399999999999999,50.0,913.0
2007-06-23,18.333333333333332,0.195,29.255000000000003,29.955,7.449999999999999,11.5,8.55,81.0,913.0
2007-06-24,21.11111111111111,0.0,29.295,29.965,6.3,9.5,7.0,76.0,913.5
2007-06-25,25.0,0.0,29.41,30.064999999999998,3.95,13.0,6.35,70.0,913.5
2007-06-26,27.5,0.0825,29.42,30.1,6.699999999999999,21.5,7.6,66.0,912.5
2007-06-27,26.944444444444443,0.25,29.325,30.009999999999998,7.7,24.0,8.65,69.0,912.5
2007-06-28,19.166666666666664,0.0,29.42,30.08,12.05,2.5,12.9,68.0,911.5
2007-06-29,17.5,0.0,29.439999999999998,30.119999999999997,7.5,2.0,8.25,75.0,911.5
2007-06-30,19.72222222222222,0.0,29.435000000000002,30.119999999999997,5.0,3.5,6.0,49.0,911.0
2007-07-01,19.444444444444443,0.0,29.535,30.22,9.05,4.0,9.149999999999999,58.0,910.0
2007-07-02,19.444444444444443,0.0,29.52,30.215,6.65,13.0,8.3,54.5,909.5
2007-07-03,22.5,0.245,29.345,30.055,6.550000000000001,21.0,7.35,57.0,909.0
2007-07-04,24.72222222222222,0.41000000000000003,29.205,29.89,3.8499999999999996,26.0,8.5,68.0,907.5
2007-07-05,26.38888888888889,0.0,29.265,29.93,5.35,32.0,7.5,51.5,907.5
2007-07-06,24.444444444444443,0.0,29.35,30.020000000000003,3.25,6.0,5.5,52.0,906.0
2007-07-07,25.27777777777778,0.0,29.21,29.905,7.9,22.5,8.35,60.0,906.0
2007-07-08,29.166666666666664,0.0,29.085,29.765,12.75,23.5,12.899999999999999,56.0,904.5
2007-07-09,28.055555555555557,0.27,29.134999999999998,29.795,4.85,23.5,8.8,58.5,903.0
2007-07-10,26.38888888888889,0.255,29.095,29.765,8.399999999999999,23.0,10.35,66.0,902.5
2007-07-11,21.11111111111111,0.0,29.255000000000003,29.925,8.95,30.0,11.05,51.0,901.0
2007-07-12,21.38888888888889,0.0,29.25,29.925,9.7,28.5,11.25,50.0,900.0
2007-07-13,19.72222222222222,0.0,29.295,29.98,1.7,4.0,5.55,59.0,898.0
2007-07-14,23.055555555555557,0.0,29.11,29.79,8.350000000000001,25.5,13.55,52.5,897.5
2007-07-15,21.944444444444443,0.0,29.22,29.884999999999998,1.65,19.0,5.7,51.0,896.0
2007-07-16,23.333333333333332,0.23,29.28,29.950000000000003,5.0,23.5,5.9,62.0,894.5
2007-07-17,24.444444444444443,0.11,29.21,29.895,5.75,23.0,6.95,70.0,893.0
2007-07-18,25.0,1.235,29.145,29.835,9.7,24.0,10.35,75.0,891.0
2007-07-19,22.77777777777778,0.085,29.235,29.89,7.35,18.5,13.15,69.5,889.0
2007-07-20,19.72222222222222,0.0,29.465,30.130000000000003,9.95,3.5,10.3,59.0,888.5
2007-07-21,19.166666666666664,0.0,29.54,30.215,6.15,3.5,7.4,60.0,887.0
2007-07-22,21.38888888888889,0.0,29.515,30.205,1.7999999999999998,17.0,3.4,57.0,885.0
2007-07-23,22.5,0.0,29.395000000000003,30.095,3.05,10.5,3.95,54.0,883.0
2007-07-24,23.333333333333332,0.0025,29.35,30.035,2.1,20.5,5.050000000000001,56.0,881.0
2007-07-25,25.27777777777778,0.0025,29.32,29.994999999999997,6.1,24.0,6.8,56.0,879.0
2007-07-26,23.61111111111111,0.54,29.22,29.915,7.2,22.0,9.65,72.5,877.5
2007-07-27,25.0,0.10500000000000001,29.134999999999998,29.810000000000002,2.1,19.5,8.0,72.5,875.5
2007-07-28,23.333333333333336,0.0,29.255000000000003,29.92,10.3,3.0,10.45,73.5,873.5
2007-07-29,23.888888888888886,0.0,29.310000000000002,29.979999999999997,5.55,5.0,6.300000000000001,52.5,871.5
2007-07-30,24.444444444444443,0.0,29.36,30.020000000000003,3.45,6.0,4.449999999999999,50.0,869.5
2007-07-31,26.38888888888889,0.0,29.36,30.03,3.65,5.5,4.95,52.0,867.5
2007-08-01,26.944444444444443,0.0,29.314999999999998,29.990000000000002,2.8,11.0,3.9,54.5,865.0
2007-08-02,27.5,0.0,29.285,29.96,6.0,24.5,6.550000000000001,59.0,863.0
2007-08-03,26.944444444444443,0.0,29.335,30.009999999999998,3.0,4.5,5.75,45.0,861.0
