date,species,latitude,longitude,nummosquitos,wnvpresent,year,dum_species,tavg,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,humidity,daylength,tavg_lag14,humidity_lag14,resultspeed_lag14,preciptotal_lag14,dumweek_28,dumweek_29,dumweek_30,dumweek_31,dumweek_32,dumweek_33,dumweek_34,dumweek_35,dumweek_36,dumweek_37,dumweek_38,dumweek_39
2007-05-29,CULEX PIPIENS/RESTUANS,41.867108,-87.654224,1,0,2007,1,24.166666666666664,0.0,29.415,30.1,5.8,17.0,6.95,55.5,896.5,24.166666666666664,55.5,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX RESTUANS,41.867108,-87.654224,2,0,2007,2,24.166666666666664,0.0,29.415,30.1,5.8,17.0,6.95,55.5,896.5,24.166666666666664,55.5,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX RESTUANS,41.862292,-87.64886,1,0,2007,2,24.166666666666664,0.0,29.415,30.1,5.8,17.0,6.95,55.5,896.5,24.166666666666668,55.5,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX RESTUANS,41.896282,-87.655232,1,0,2007,2,24.166666666666664,0.0,29.415,30.1,5.8,17.0,6.95,55.5,896.5,24.166666666666664,55.5,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX RESTUANS,41.907645,-87.760886,1,0,2007,2,24.166666666666664,0.0,29.415,30.1,5.8,17.0,6.95,55.5,896.5,24.166666666666664,55.5,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX RESTUANS,41.9216,-87.666455,2,0,2007,2,24.166666666666664,0.0,29.415,30.1,5.8,17.0,6.95,55.5,896.5,24.166666666666668,55.5,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX RESTUANS,41.720848,-87.666014,3,0,2007,2,24.166666666666664,0.0,29.415,30.1,5.8,17.0,6.95,55.5,896.5,24.166666666666664,55.5,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX PIPIENS/RESTUANS,41.919343,-87.694259,1,0,2007,1,24.166666666666664,0.0,29.415,30.1,5.8,17.0,6.95,55.5,896.5,24.166666666666664,55.5,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX PIPIENS/RESTUANS,41.921965,-87.632085,2,0,2007,1,24.166666666666664,0.0,29.415,30.1,5.8,17.0,6.95,55.5,896.5,24.166666666666664,55.5,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX RESTUANS,41.921965,-87.632085,3,0,2007,2,24.166666666666664,0.0,29.415,30.1,5.8,17.0,6.95,55.5,896.5,24.166666666666664,55.5,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX PIPIENS/RESTUANS,41.688324,-87.676709,1,0,2007,1,24.166666666666664,0.0,29.415,30.1,5.8,17.0,6.95,55.5,896.5,24.166666666666664,55.5,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX RESTUANS,41.688324,-87.676709,1,0,2007,2,24.166666666666664,0.0,29.415,30.1,5.8,17.0,6.95,55.5,896.5,24.166666666666668,55.5,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX PIPIENS,41.731922,-87.677512,1,0,2007,1,24.166666666666664,0.0,29.415,30.1,5.8,17.0,6.95,55.5,896.5,24.166666666666664,55.5,5.799999999999999,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX RESTUANS,41.731922,-87.677512,5,0,2007,2,24.166666666666664,0.0,29.415,30.1,5.8,17.0,6.95,55.5,896.5,24.166666666666664,55.5,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX RESTUANS,41.891118,-87.654491,1,0,2007,2,24.166666666666664,0.0,29.415,30.1,5.8,17.0,6.95,55.5,896.5,24.16666666666666,55.5,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX PIPIENS/RESTUANS,41.95469,-87.800991,1,0,2007,1,24.166666666666664,0.0,29.415,30.1,5.8,17.0,6.95,55.5,896.5,24.166666666666664,55.5,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX RESTUANS,41.95469,-87.800991,1,0,2007,2,24.166666666666664,0.0,29.415,30.1,5.8,17.0,6.95,55.5,896.5,24.166666666666664,55.5,5.799999999999999,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX RESTUANS,41.994991,-87.769279,1,0,2007,2,24.166666666666664,0.0,29.415,30.1,5.8,17.0,6.95,55.5,896.5,24.16666666666666,55.5,5.799999999999999,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX PIPIENS/RESTUANS,41.999129,-87.795585,1,0,2007,1,24.166666666666664,0.0,29.415,30.1,5.8,17.0,6.95,55.5,896.5,24.166666666666664,55.5,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX PIPIENS/RESTUANS,42.01743,-87.687769,1,0,2007,1,24.166666666666664,0.0,29.415,30.1,5.8,17.0,6.95,55.5,896.5,24.16666666666666,55.5,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX PIPIENS/RESTUANS,41.974089,-87.824812,1,0,2007,1,24.166666666666664,0.0,29.415,30.1,5.8,17.0,6.95,55.5,896.5,24.166666666666664,55.5,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX RESTUANS,41.974089,-87.824812,4,0,2007,2,24.166666666666664,0.0,29.415,30.1,5.8,17.0,6.95,55.5,896.5,24.166666666666664,55.5,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX RESTUANS,41.732984,-87.649642,1,0,2007,2,24.166666666666664,0.0,29.415,30.1,5.8,17.0,6.95,55.5,896.5,24.16666666666666,55.5,5.799999999999999,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX PIPIENS/RESTUANS,41.891126,-87.61156,1,0,2007,1,24.166666666666664,0.0,29.415,30.1,5.8,17.0,6.95,55.5,896.5,24.166666666666664,55.5,5.799999999999999,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,CULEX RESTUANS,41.891126,-87.61156,2,0,2007,2,24.166666666666664,0.0,29.415,30.1,5.8,17.0,6.95,55.5,896.5,24.166666666666664,55.5,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-05,CULEX PIPIENS,41.867108,-87.654224,2,0,2007,1,13.61111111111111,0.345,29.130000000000003,29.785,5.7,4.0,7.85,71.5,905.5,23.412698412698408,56.642857142857146,5.792857142857143,0.02464285714285714,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-05,CULEX PIPIENS/RESTUANS,41.867108,-87.654224,1,0,2007,1,13.61111111111111,0.345,29.130000000000003,29.785,5.7,4.0,7.85,71.5,905.5,22.658730158730155,57.785714285714285,5.785714285714286,0.04928571428571428,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-05,CULEX RESTUANS,41.867108,-87.654224,1,0,2007,2,13.61111111111111,0.345,29.130000000000003,29.785,5.7,4.0,7.85,71.5,905.5,21.9047619047619,58.92857142857143,5.778571428571428,0.07392857142857143,0,0,0,0,0,0,0,0,0,0,0,0
